Time,Node,ID,Ax,Ay,Az,Gx,Gy,Gz,Activity
0.0,1,1,1.1,0.0,9.8,0.0,0.0,0.0,WALK
0.0,2,1,1.2,0.0,9.8,0.0,0.0,0.0,WALK
0.0,3,1,1.3,0.0,9.8,0.0,0.0,0.0,WALK
0.0,4,1,1.4,0.0,9.8,0.0,0.0,0.0,WALK
1.0,1,1,1.11,0.0,9.8,0.0,0.0,0.0,WALK
1.0,2,1,1.21,0.0,9.8,0.0,0.0,0.0,WALK
1.0,3,1,1.31,0.0,9.8,0.0,0.0,0.0,WALK
1.0,4,1,1.4100000000000001,0.0,9.8,0.0,0.0,0.0,WALK
2.0,1,1,1.12,0.0,9.8,0.0,0.0,0.0,WALK
2.0,2,1,1.22,0.0,9.8,0.0,0.0,0.0,WALK
2.0,3,1,1.32,0.0,9.8,0.0,0.0,0.0,WALK
2.0,4,1,1.42,0.0,9.8,0.0,0.0,0.0,WALK
3.0,1,1,1.13,0.0,9.8,0.0,0.0,0.0,WALK
3.0,2,1,1.23,0.0,9.8,0.0,0.0,0.0,WALK
3.0,3,1,1.33,0.0,9.8,0.0,0.0,0.0,WALK
3.0,4,1,1.4300000000000002,0.0,9.8,0.0,0.0,0.0,WALK
4.0,1,1,1.1400000000000001,0.0,9.8,0.0,0.0,0.0,WALK
4.0,2,1,1.24,0.0,9.8,0.0,0.0,0.0,WALK
4.0,3,1,1.34,0.0,9.8,0.0,0.0,0.0,WALK
4.0,4,1,1.44,0.0,9.8,0.0,0.0,0.0,WALK
5.0,1,1,1.15,0.0,9.8,0.0,0.0,0.0,WALK
5.0,2,1,1.25,0.0,9.8,0.0,0.0,0.0,WALK
5.0,3,1,1.35,0.0,9.8,0.0,0.0,0.0,WALK
5.0,4,1,1.45,0.0,9.8,0.0,0.0,0.0,WALK
6.0,1,1,1.16,0.0,9.8,0.0,0.0,0.0,WALK
6.0,2,1,1.26,0.0,9.8,0.0,0.0,0.0,WALK
6.0,3,1,1.36,0.0,9.8,0.0,0.0,0.0,WALK
6.0,4,1,1.46,0.0,9.8,0.0,0.0,0.0,WALK
7.0,1,1,1.17,0.0,9.8,0.0,0.0,0.0,WALK
7.0,2,1,1.27,0.0,9.8,0.0,0.0,0.0,WALK
7.0,3,1,1.37,0.0,9.8,0.0,0.0,0.0,WALK
7.0,4,1,1.47,0.0,9.8,0.0,0.0,0.0,WALK
8.0,1,1,1.18,0.0,9.8,0.0,0.0,0.0,WALK
8.0,2,1,1.28,0.0,9.8,0.0,0.0,0.0,WALK
8.0,3,1,1.3800000000000001,0.0,9.8,0.0,0.0,0.0,WALK
8.0,4,1,1.48,0.0,9.8,0.0,0.0,0.0,WALK
9.0,1,1,1.19,0.0,9.8,0.0,0.0,0.0,WALK
9.0,2,1,1.29,0.0,9.8,0.0,0.0,0.0,WALK
9.0,3,1,1.3900000000000001,0.0,9.8,0.0,0.0,0.0,WALK
9.0,4,1,1.49,0.0,9.8,0.0,0.0,0.0,WALK
10.0,1,1,1.2,0.0,9.8,0.0,0.0,0.0,WALK
10.0,2,1,1.3,0.0,9.8,0.0,0.0,0.0,WALK
10.0,3,1,1.4,0.0,9.8,0.0,0.0,0.0,WALK
10.0,4,1,1.5,0.0,9.8,0.0,0.0,0.0,WALK
11.0,1,1,1.21,0.0,9.8,0.0,0.0,0.0,WALK
11.0,2,1,1.31,0.0,9.8,0.0,0.0,0.0,WALK
11.0,3,1,1.4100000000000001,0.0,9.8,0.0,0.0,0.0,WALK
11.0,4,1,1.51,0.0,9.8,0.0,0.0,0.0,WALK
12.0,1,1,1.22,0.0,9.8,0.0,0.0,0.0,WALK
12.0,2,1,1.32,0.0,9.8,0.0,0.0,0.0,WALK
12.0,3,1,1.42,0.0,9.8,0.0,0.0,0.0,WALK
12.0,4,1,1.52,0.0,9.8,0.0,0.0,0.0,WALK
13.0,1,1,1.23,0.0,9.8,0.0,0.0,0.0,WALK
13.0,2,1,1.33,0.0,9.8,0.0,0.0,0.0,WALK
13.0,3,1,1.4300000000000002,0.0,9.8,0.0,0.0,0.0,WALK
13.0,4,1,1.53,0.0,9.8,0.0,0.0,0.0,WALK
14.0,1,1,1.24,0.0,9.8,0.0,0.0,0.0,WALK
14.0,2,1,1.34,0.0,9.8,0.0,0.0,0.0,WALK
14.0,3,1,1.44,0.0,9.8,0.0,0.0,0.0,WALK
14.0,4,1,1.54,0.0,9.8,0.0,0.0,0.0,WALK
15.0,1,1,1.25,0.0,9.8,0.0,0.0,0.0,WALK
15.0,2,1,1.35,0.0,9.8,0.0,0.0,0.0,WALK
15.0,3,1,1.4500000000000002,0.0,9.8,0.0,0.0,0.0,WALK
15.0,4,1,1.55,0.0,9.8,0.0,0.0,0.0,WALK
16.0,1,1,1.26,0.0,9.8,0.0,0.0,0.0,WALK
16.0,2,1,1.3599999999999999,0.0,9.8,0.0,0.0,0.0,WALK
16.0,3,1,1.46,0.0,9.8,0.0,0.0,0.0,WALK
16.0,4,1,1.56,0.0,9.8,0.0,0.0,0.0,WALK
17.0,1,1,1.27,0.0,9.8,0.0,0.0,0.0,WALK
17.0,2,1,1.37,0.0,9.8,0.0,0.0,0.0,WALK
17.0,3,1,1.4700000000000002,0.0,9.8,0.0,0.0,0.0,WALK
17.0,4,1,1.57,0.0,9.8,0.0,0.0,0.0,WALK
18.0,1,1,1.28,0.0,9.8,0.0,0.0,0.0,WALK
18.0,2,1,1.38,0.0,9.8,0.0,0.0,0.0,WALK
18.0,3,1,1.48,0.0,9.8,0.0,0.0,0.0,WALK
18.0,4,1,1.58,0.0,9.8,0.0,0.0,0.0,WALK
19.0,1,1,1.29,0.0,9.8,0.0,0.0,0.0,WALK
19.0,2,1,1.3900000000000001,0.0,9.8,0.0,0.0,0.0,WALK
19.0,3,1,1.49,0.0,9.8,0.0,0.0,0.0,WALK
19.0,4,1,1.59,0.0,9.8,0.0,0.0,0.0,WALK
20.0,1,1,1.3,0.0,9.8,0.0,0.0,0.0,WALK
20.0,2,1,1.4,0.0,9.8,0.0,0.0,0.0,WALK
20.0,3,1,1.5,0.0,9.8,0.0,0.0,0.0,WALK
20.0,4,1,1.6,0.0,9.8,0.0,0.0,0.0,WALK
21.0,1,1,1.31,0.0,9.8,0.0,0.0,0.0,WALK
21.0,2,1,1.4100000000000001,0.0,9.8,0.0,0.0,0.0,WALK
21.0,3,1,1.51,0.0,9.8,0.0,0.0,0.0,WALK
21.0,4,1,1.6099999999999999,0.0,9.8,0.0,0.0,0.0,WALK
22.0,1,1,1.32,0.0,9.8,0.0,0.0,0.0,WALK
22.0,2,1,1.42,0.0,9.8,0.0,0.0,0.0,WALK
22.0,3,1,1.52,0.0,9.8,0.0,0.0,0.0,WALK
22.0,4,1,1.62,0.0,9.8,0.0,0.0,0.0,WALK
23.0,1,1,1.33,0.0,9.8,0.0,0.0,0.0,WALK
23.0,2,1,1.4300000000000002,0.0,9.8,0.0,0.0,0.0,WALK
23.0,3,1,1.53,0.0,9.8,0.0,0.0,0.0,WALK
23.0,4,1,1.63,0.0,9.8,0.0,0.0,0.0,WALK
24.0,1,1,1.3399999999999999,0.0,9.8,0.0,0.0,0.0,WALK
24.0,2,1,1.44,0.0,9.8,0.0,0.0,0.0,WALK
24.0,3,1,1.54,0.0,9.8,0.0,0.0,0.0,WALK
24.0,4,1,1.6400000000000001,0.0,9.8,0.0,0.0,0.0,WALK
25.0,1,1,1.35,0.0,9.8,0.0,0.0,0.0,WALK
25.0,2,1,1.45,0.0,9.8,0.0,0.0,0.0,WALK
25.0,3,1,1.55,0.0,9.8,0.0,0.0,0.0,WALK
25.0,4,1,1.65,0.0,9.8,0.0,0.0,0.0,WALK
