Time,ID,Ax,Ay,Az,Gx,Gy,Gz,H,W
2026-05-09 15:07:00.172,1,0.29,0.2,1.0,-240.9032,52.4784,137.3026,175,75
2026-05-09 15:07:00.172,5,1.06,-0.28,1.23,17.8514,29.144599999999997,34.0708,175,75
2026-05-09 15:07:00.172,4,-0.03,-0.9,1.51,219.20159999999998,-260.56219999999996,58.2388,175,75
2026-05-09 15:07:00.197,5,0.69,-0.33,1.34,27.0414,45.8046,-10.6092,175,75
2026-05-09 15:07:00.197,2,1.62,-1.08,1.37,-122.78099999999999,96.5588,-103.81719999999999,175,75
2026-05-09 15:07:00.202,3,-0.62,-0.3,1.32,-24.2146,-61.46640000000001,-38.432599999999994,175,75
2026-05-09 15:07:00.211,2,1.73,-0.83,1.29,-159.861,100.0288,-55.097199999999994,175,75
2026-05-09 15:07:00.211,1,0.41,0.61,1.18,-86.0232,2.5384,58.1026,175,75
2026-05-09 15:07:00.215,4,0.04,0.0,0.51,140.48160000000001,-244.0422,-16.8212,175,75
2026-05-09 15:07:00.215,2,1.49,-0.58,1.2,-170.041,117.8988,-17.3572,175,75
2026-05-09 15:07:00.217,5,0.78,-0.22,1.29,20.5514,50.7746,-42.2992,175,75
2026-05-09 15:07:00.221,1,0.42,0.69,1.32,-48.2732,11.258400000000002,32.9126,175,75
2026-05-09 15:07:00.234,5,0.8,-0.16,1.29,17.5414,54.7646,-42.7192,175,75
2026-05-09 15:07:00.234,1,0.43,0.74,1.47,-22.4832,11.3784,13.582599999999998,175,75
2026-05-09 15:07:00.234,2,1.24,-0.62,1.26,-104.98100000000001,178.68880000000001,-37.3572,175,75
2026-05-09 15:07:00.234,4,0.07,0.49,0.17,93.8416,-193.8022,-24.6812,175,75
2026-05-09 15:07:00.245,5,0.72,-0.12,1.22,13.6014,58.7046,-42.419200000000004,175,75
2026-05-09 15:07:00.245,3,-0.21,-0.56,1.08,-25.1846,-63.1764,-31.3026,175,75
2026-05-09 15:07:00.257,4,0.09,0.65,0.09,75.66159999999999,-158.9222,-22.371199999999998,175,75
2026-05-09 15:07:00.257,1,0.4,0.79,1.61,10.8068,3.5684000000000005,-15.2574,175,75
2026-05-09 15:07:00.257,3,-0.11,-0.6,0.98,-18.9046,-73.72640000000001,-25.932599999999997,175,75
2026-05-09 15:07:00.257,4,0.11,0.77,0.03,57.491600000000005,-127.3922,-15.8412,175,75
2026-05-09 15:07:00.257,5,0.53,-0.04,1.1,11.5714,58.0546,-49.6292,175,75
