Time,ID,Ax,Ay,Az,Gx,Gy,Gz,H,W
2026-05-07 18:39:43.037,1,-0.15,0.46,0.2,-94.476,50.0422,41.701,175,75
2026-05-07 18:39:43.037,5,-0.41,-0.6,0.95,-22.538600000000002,22.2592,21.5162,175,75
2026-05-07 18:39:43.037,2,0.59,0.3,1.25,-9.9158,247.3374,-73.29419999999999,175,75
2026-05-07 18:39:43.037,3,-0.03,-1.42,1.57,163.20260000000002,119.92259999999999,-31.465,175,75
2026-05-07 18:39:43.042,5,-0.39,-0.57,0.91,-15.968600000000002,24.0292,-18.6738,175,75
2026-05-07 18:39:43.060,5,-0.33,-0.48,0.92,-10.9786,32.5492,-53.2738,175,75
2026-05-07 18:39:43.066,1,-0.13,0.4,0.08,-122.52600000000001,24.6822,32.741,175,75
2026-05-07 18:39:43.076,5,-0.18,-0.27,0.99,-14.3186,38.8092,-84.8438,175,75
2026-05-07 18:39:43.077,4,-0.09,-0.43,1.73,157.5282,-77.1084,-7.928000000000001,175,75
2026-05-07 18:39:43.096,2,0.65,0.08,1.28,-38.9358,120.3274,-132.4942,175,75
2026-05-07 18:39:43.096,1,-0.09,0.48,0.1,-132.526,12.792200000000001,35.731,175,75
2026-05-07 18:39:43.096,2,0.61,0.07,1.16,-36.4358,133.1274,-138.4142,175,75
2026-05-07 18:39:43.096,3,-0.76,-0.84,-0.8,0.5725999999999978,130.1626,-4.694999999999999,175,75
2026-05-07 18:39:43.096,5,-0.05,-0.14,1.04,-17.108600000000003,26.9992,-69.3638,175,75
2026-05-07 18:39:43.108,2,0.35,0.01,1.21,-28.815800000000003,186.17739999999998,-149.20420000000001,175,75
2026-05-07 18:39:43.108,4,0.01,-0.56,1.59,172.3382,-55.7684,-14.448,175,75
2026-05-07 18:39:43.108,5,-0.03,-0.12,1.08,-16.9786,27.6492,-55.5238,175,75
2026-05-07 18:39:43.108,1,-0.3,0.12,0.05,-135.326,-4.6478,35.361,175,75
2026-05-07 18:39:43.108,2,0.37,-0.06,1.28,-31.4358,214.10739999999998,-156.5242,175,75
2026-05-07 18:39:43.123,3,-0.8,-0.98,-0.25,-27.3474,174.0026,-19.945,175,75
2026-05-07 18:39:43.123,5,-0.03,-0.11,1.14,-19.4386,33.7592,-42.2038,175,75
2026-05-07 18:39:43.123,4,0.08,-0.59,1.52,174.10819999999998,-71.4984,-24.998000000000005,175,75
2026-05-07 18:39:43.123,1,-0.47,0.51,0.21,-141.916,-21.7178,43.411,175,75
2026-05-07 18:39:43.128,4,0.11,-0.62,1.49,173.3782,-76.25840000000001,-31.098,175,75
2026-05-07 18:39:43.128,2,0.52,-0.1,1.48,-37.5358,204.8974,-154.6342,175,75
2026-05-07 18:39:43.140,5,-0.12,-0.12,1.22,-31.308600000000002,52.7392,-23.133799999999997,175,75
2026-05-07 18:39:43.140,2,0.59,-0.12,1.58,-37.4158,162.2174,-154.51420000000002,175,75
2026-05-07 18:39:43.166,1,-0.2,0.98,-0.04,-111.976,-7.5778,54.021,175,75
2026-05-07 18:39:43.180,5,-0.7,-0.22,1.24,-33.288599999999995,94.7992,-67.71379999999999,175,75
2026-05-07 18:39:43.180,4,0.27,-0.62,1.37,160.38819999999998,-80.1584,-48.83800000000001,175,75
2026-05-07 18:39:43.180,4,0.2,-0.57,1.38,151.1282,-82.9584,-50.858000000000004,175,75
2026-05-07 18:39:43.185,1,-0.3,1.21,-0.24,-98.256,1.6922000000000006,55.661,175,75
2026-05-07 18:39:43.185,5,-0.83,-0.15,1.25,-26.7586,94.3092,-92.1138,175,75
2026-05-07 18:39:43.190,5,-0.91,-0.05,1.3,-22.398600000000002,85.1092,-111.82379999999999,175,75
2026-05-07 18:39:43.211,1,-0.32,1.47,-0.13,-68.80600000000001,-3.1878,49.571,175,75
2026-05-07 18:39:43.211,2,0.46,-0.28,1.44,-55.5858,-9.982600000000001,-150.1242,175,75
2026-05-07 18:39:43.222,3,-0.78,-1.35,0.55,-236.5574,2.2426000000000013,-17.744999999999997,175,75
2026-05-07 18:39:43.222,2,0.51,-0.34,1.4,-57.7258,-15.4726,-143.04420000000002,175,75
2026-05-07 18:39:43.222,2,0.56,-0.35,1.44,-59.0058,-32.912600000000005,-131.8842,175,75
2026-05-07 18:39:43.223,5,-0.95,0.13,1.52,-31.298600000000004,63.709199999999996,-124.0038,175,75
2026-05-07 18:39:43.223,1,-0.32,1.56,-0.25,-55.516,-4.4677999999999995,43.291,175,75
2026-05-07 18:39:43.223,4,0.31,-0.61,1.32,134.7182,-85.7084,-58.298,175,75
2026-05-07 18:39:43.223,2,0.58,-0.36,1.44,-62.5358,-45.342600000000004,-122.7442,175,75
2026-05-07 18:39:43.233,5,-0.95,0.15,1.59,-41.3786,61.4092,-110.2538,175,75
2026-05-07 18:39:43.234,1,-0.46,1.47,-0.24,-37.955999999999996,-0.3777999999999997,36.151,175,75
2026-05-07 18:39:43.234,3,-0.79,-1.42,0.6,-251.0074,-12.6374,-13.174999999999999,175,75
2026-05-07 18:39:43.234,4,0.2,-0.57,1.23,122.5282,-85.4584,-62.617999999999995,175,75
2026-05-07 18:39:43.234,4,0.2,-0.55,1.2,115.6982,-67.22840000000001,-55.05800000000001,175,75
2026-05-07 18:39:43.234,1,-0.49,1.2,-0.23,-21.856,1.752200000000001,19.441,175,75
2026-05-07 18:39:43.246,4,0.17,-0.51,1.21,110.3882,-52.8984,-48.168000000000006,175,75
2026-05-07 18:39:43.246,5,-1.15,0.07,1.61,-45.748599999999996,45.819199999999995,-42.8538,175,75
2026-05-07 18:39:43.246,3,-0.86,-1.46,0.48,-259.36740000000003,-13.3674,-7.385,175,75
2026-05-07 18:39:43.251,2,0.51,-0.46,1.34,-69.1858,-48.15260000000001,-89.9342,175,75
2026-05-07 18:39:43.251,5,-1.29,0.04,1.65,-41.7086,33.0592,-10.9038,175,75
2026-05-07 18:39:43.253,2,0.44,-0.37,1.25,-75.70580000000001,-39.1926,-69.63419999999999,175,75
2026-05-07 18:39:43.253,1,-0.64,0.71,-0.24,-3.3759999999999994,14.1922,-14.699,175,75
2026-05-07 18:39:43.266,1,-0.59,0.48,-0.32,4.854000000000001,27.4822,-37.379,175,75
2026-05-07 18:39:43.280,5,-1.49,-0.07,1.85,-42.0986,-4.8608,29.2862,175,75
2026-05-07 18:39:43.280,4,0.23,-0.41,1.32,100.6982,-83.6284,-42.378,175,75
2026-05-07 18:39:43.280,1,-0.57,0.32,-0.37,8.874,39.4322,-50.369,175,75
2026-05-07 18:39:43.292,2,0.39,-0.36,1.13,-82.7258,-1.6926000000000023,-41.4642,175,75
2026-05-07 18:39:43.292,5,-1.61,-0.16,1.8,-42.4586,-34.280800000000006,31.256200000000003,175,75
2026-05-07 18:39:43.292,3,-0.98,-1.5,0.37,-241.2574,35.2926,-0.125,175,75
2026-05-07 18:39:43.292,2,0.34,-0.42,1.13,-88.6958,4.527399999999998,-24.0242,175,75
2026-05-07 18:39:43.292,3,-0.99,-1.41,0.41,-228.5674,54.3126,-2.1950000000000003,175,75
2026-05-07 18:39:43.292,4,0.26,-0.34,1.12,96.9182,-176.1284,-60.668000000000006,175,75
2026-05-07 18:39:43.305,1,-0.49,-0.04,-0.47,15.764000000000001,53.6422,-71.289,175,75
2026-05-07 18:39:43.305,4,0.21,-0.24,0.95,96.7382,-204.9784,-64.148,175,75
2026-05-07 18:39:43.315,5,-1.31,-0.16,1.55,-36.7386,-128.32080000000002,23.7362,175,75
2026-05-07 18:39:43.315,1,-0.26,-0.7,-0.24,45.954,57.362199999999994,-78.969,175,75
2026-05-07 18:39:43.356,5,-1.08,-0.16,1.44,-40.4886,-152.48080000000002,36.5762,175,75
2026-05-07 18:39:43.356,3,-1.07,-0.8,0.88,-150.51739999999998,123.58260000000001,-1.7750000000000004,175,75
2026-05-07 18:39:43.356,5,-0.88,-0.19,1.34,-44.3886,-170.7108,58.846199999999996,175,75
2026-05-07 18:39:43.356,2,0.19,-0.17,1.13,-97.6558,-2.3026000000000018,26.2258,175,75
2026-05-07 18:39:43.356,3,-1.15,-0.65,1.04,-135.5174,129.2526,4.505000000000001,175,75
2026-05-07 18:39:43.356,2,0.1,0.06,1.1,-85.4058,-8.7026,30.5558,175,75
2026-05-07 18:39:43.369,4,0.02,0.23,0.43,78.2582,-195.8884,-50.30800000000001,175,75
2026-05-07 18:39:43.369,1,0.12,-1.73,0.54,54.854,5.5322000000000005,-84.029,175,75
2026-05-07 18:39:43.369,5,-0.66,-0.25,1.29,-49.6386,-181.7508,85.26620000000001,175,75
2026-05-07 18:39:43.380,5,-0.49,-0.41,1.2,-55.6886,-187.38080000000002,117.0562,175,75
2026-05-07 18:39:43.380,3,-1.32,-0.37,1.62,-94.23740000000001,109.1926,24.625000000000004,175,75
2026-05-07 18:39:43.392,2,-0.44,0.44,1.23,-44.9758,43.9174,8.965800000000002,175,75
2026-05-07 18:39:43.392,4,-0.2,0.34,0.1,25.5182,-139.4284,-33.838,175,75
2026-05-07 18:39:43.392,3,-1.35,-0.09,2.36,-50.45740000000001,30.8326,56.94500000000001,175,75
2026-05-07 18:39:43.392,1,0.69,-0.9,1.52,28.634,47.1222,-51.899,175,75
2026-05-07 18:39:43.397,2,-0.46,0.55,1.33,-44.5458,90.3274,-12.554200000000002,175,75
2026-05-07 18:39:43.397,5,-0.26,-0.76,0.82,-33.3486,-198.5808,191.4962,175,75
2026-05-07 18:39:43.413,2,-0.3,0.69,1.47,-41.1958,148.18740000000003,-30.4842,175,75
2026-05-07 18:39:43.413,1,0.42,0.81,2.2,60.284,-19.0978,-65.619,175,75
2026-05-07 18:39:43.413,5,-0.19,-0.83,0.64,20.8314,-208.0508,237.2462,175,75
2026-05-07 18:39:43.413,4,-0.37,0.48,0.05,-6.3118,-148.6284,-22.317999999999998,175,75
2026-05-07 18:39:43.413,3,-1.23,0.14,2.29,-19.727400000000003,-83.3674,71.455,175,75
2026-05-07 18:39:43.413,5,-0.23,-0.75,0.6,45.491400000000006,-213.45080000000002,221.7762,175,75
2026-05-07 18:39:43.413,1,-0.4,0.31,0.58,-64.906,-147.2078,-47.689,175,75
2026-05-07 18:39:43.423,2,-0.05,0.85,1.64,-34.6758,189.3474,-21.404199999999996,175,75
2026-05-07 18:39:43.423,4,-0.28,0.64,0.0,-20.401799999999998,-149.3084,-14.817999999999998,175,75
2026-05-07 18:39:43.423,2,-0.01,0.92,1.78,-27.845799999999997,187.6374,-7.374199999999998,175,75
2026-05-07 18:39:43.423,4,-0.1,0.77,-0.06,-32.4718,-147.6584,-13.048000000000002,175,75
2026-05-07 18:39:43.423,3,-1.04,0.04,1.45,44.602599999999995,-79.4674,84.08500000000001,175,75
2026-05-07 18:39:43.433,5,-0.16,-0.51,0.48,71.9414,-250.2208,133.2462,175,75
